uid,tag,key,time,did,value,metric,last_modify
6499811869,object_name,2024/06/18/6499811869/xiaomiwear_app_194037.NXJxZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1718710837,xiaomiwear_app,TaRPzGKpBYCrfvdJ1u8Jew==,0,1718712450
6499811869,object_name,2024/06/18/6499811869/xiaomiwear_app_194037.NXJxZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1718710837,xiaomiwear_app,maHkIDIjCXiPb9G8Ocrfjg==,0,1718712449
6499811869,object_name,2024/06/17/6499811869/xiaomiwear_app_190215.txdwZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1718622135,xiaomiwear_app,S2UOEA0nc5ebBK1DCsnMpA==,0,1718709364
6499811869,object_name,2024/06/17/6499811869/xiaomiwear_app_190215.txdwZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1718622135,xiaomiwear_app,aDBO1T6VEey2K8dUmCuQdw==,0,1718709362
6499811869,object_name,2024/06/12/6499811869/xiaomiwear_app_084116.rO5oZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1718152876,xiaomiwear_app,pSNo0_jqglT2-ftszcfB9g==,0,1718153660
6499811869,object_name,2024/06/12/6499811869/xiaomiwear_app_084116.rO5oZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1718152876,xiaomiwear_app,vKwGuwjj9FqsitdVG6_Z3w==,0,1718153659
6499811869,object_name,2024/06/10/6499811869/514074232_203000.yPFmZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1718022600,514074232,Z3d9B7QIhan_6ahzCT4FAQ==,0,1718153126
6499811869,object_name,2024/06/09/6499811869/xiaomiwear_app_200249.6ZllZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1717934569,xiaomiwear_app,ODs9UUUUhSE1KB6VL11_rw==,0,1717935720
6499811869,object_name,2024/06/09/6499811869/xiaomiwear_app_200249.6ZllZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1717934569,xiaomiwear_app,CgTp1qkj-57sk8uwEmZblQ==,0,1717935721
6499811869,object_name,2024/06/07/6499811869/514074232_170600.eM1iZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1717751160,514074232,CjHs655L2i4HnHb8Zt9Hyg==,0,1717821531
